,type,c_Q,c_V,c_density,c_viscosity,c_interface tension,c_channel’s width,c_channel’s depth,c_weber number,c_capillary number,d_Q,d_V,d_density,d_viscosity,d_interface tension,d_channel’s width,d_channel’s depth,d_weber number,d_capillary number
95,squeezing,2e-07,0.8,1001.5,0.00113,0.04,0.5,0.5,8.012000000000002,0.415,3.33333e-10,0.008333324999999999,950.0,0.05243,0.04,0.2,0.1,0.00032986045138921866,0.005
96,jetting,1.1944444444444443e-11,0.0011944444444444444,1420.0,0.012,0.01,0.2985,0.1,6.0473428240740736e-05,0.025,1.1944444444444443e-11,0.0011944444444444444,1100.0,0.002,0.01,0.1,0.1,1.569367283950617e-05,0.015
97,squeezing,8e-10,0.005,800.0,0.001,0.0315,0.4,821.6307315261818,0.00025396825396825396,0.0017,8e-10,0.025,877.5,0.0055,0.0315,0.4,0.28759358118279577,0.006964285714285716,0.004365079365079365
99,jetting,1.1111111111111112e-08,0.17777777777777778,950.0,0.02,0.01,0.25,0.06,0.7506172839506173,5.05,1.94e-08,0.17777777777777778,1162.0,0.01058,0.01,0.25,0.06,22.675,0.18808888888888892
100,squeezing,5.8333333333333335e-09,0.005833333333333334,922.0,0.0492,821.6307315261818,1.0,0.12,56.295,0.0645,8.33e-10,0.27537190082644625,997.1,0.00089,0.28759358118279577,0.055,0.055,0.014459772556115191,0.0008521782396101621
101,squeezing,1.26e-06,0.315,1145.0,2.1e-05,5.6e-05,2.0,2.0,4057.59375,0.0905,1.26e-06,0.42,1063.0,0.00317,5.6e-05,2.0,2.0,6696.9,0.011
102,dripping,8.33333e-06,208.33325000000002,1000.0,0.001,821.6307315261818,0.2,0.4,0.115,0.00083,8.333333333333334e-09,0.20833333333333334,800.0,0.001,0.28759358118279577,0.2,0.25,0.024146729617134696,0.0007244018885140407
103,squeezing,1.944445e-10,0.01944445,1000.0,0.00195,821.6307315261818,0.1,0.075,4.601661321749769e-08,1.0,5.56e-11,0.00556,1020.0,0.00671,0.28759358118279577,0.1,0.05,1.0964038860087838e-05,0.00012972334030044683
104,squeezing,5.005,0.046875,933.7725000000002,1.96071561707454,0.01,10333.118277332034,821.6307315261818,2120.0936323139713,0.001,5.005,0.046875,933.7725000000002,0.0055,0.01,10333.118277332034,0.28759358118279577,0.2825,0.001
105,squeezing,5.56e-10,5.0,980.0,0.00029,0.003,0.1,821.6307315261818,2.14,0.0105,5.56e-08,5.0,1000.0,0.01,0.003,0.1,0.28759358118279577,833.3333333333334,16.666666666666668
